region	Доля городского населения в общей численности
Российская Федерация	74,7
Центральный федеральный округ	82,3
Белгородская область	67,5
Брянская область	70,4
Владимирская область	78,2
Воронежская область	68
Ивановская область	81,7
Калужская область	75,9
Костромская область	72,7
Курская область	68,5
Липецкая область	64,59
Московская область	81,4
Орловская область	66,8
Рязанская область	72,2
Смоленская область	71,8
Тамбовская область	61,4
Тверская область	76,09
Тульская область	74,8
Ярославская область	81,59
Город Москва столица Российской Федерации город федерального значения	98,4
Северо-Западный федеральный округ	84,9
Республика Карелия	81
Республика Коми	78,2
Архангельская область	78,59
Ненецкий автономный округ (Архангельская область)	73,8
Архангельская область (кроме Ненецкого автономного округа)	78,8
Вологодская область	72,59
Калининградская область	77,7
Ленинградская область	67,2
Мурманская область	92,2
Новгородская область	71,5
Псковская область	70,9
Город Санкт-Петербург город федерального значения	100
Южный федеральный округ (с 2010 года)	
Южный федеральный округ (с 29.07.2016)	62,8
Республика Адыгея (Адыгея)	47,3
Республика Калмыкия	45,9
Республика Крым	51
Краснодарский край	55,4
Астраханская область	66,7
Волгоградская область	77,3
Ростовская область	68,2
Город федерального значения Севастополь	93,2
Северо-Кавказский федеральный округ	50,3
Республика Дагестан	45,3
Республика Ингушетия	55,6
Кабардино-Балкарская Республика	52,1
Карачаево-Черкесская Республика	42,9
Республика Северная Осетия-Алания	64,3
Чеченская Республика	36,9
Ставропольский край	59,1
Приволжский федеральный округ	72,2
Республика Башкортостан	62,5
Республика Марий Эл	67
Республика Мордовия	63,8
Республика Татарстан (Татарстан)	76,9
Удмуртская Республика	66,09
Чувашская Республика - Чувашия	63,4
Пермский край	75,9
Кировская область	77,8
Нижегородская область	79,7
Оренбургская область	60,6
Пензенская область	68,9
Самарская область	79,8
Саратовская область	75,59
Ульяновская область	75,8
Уральский федеральный округ	81,59
Курганская область	62,2
Свердловская область	85
Тюменская область	81
Ханты-Мансийский автономный округ - Югра (Тюменская область)	92,5
Ямало-Ненецкий автономный округ (Тюменская область)	84
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)	67,5
Челябинская область	82,7
Сибирский федеральный округ	
Сибирский федеральный округ	74,3
Республика Алтай	29,3
Республика Тыва	54,3
Республика Хакасия	69,8
Алтайский край	56,9
Красноярский край	77,5
Иркутская область	78,09
Кемеровская область - Кузбасс	86,1
Новосибирская область	79,2
Омская область	72,9
Томская область	72,4
Дальневосточный федеральный округ	
Дальневосточный федеральный округ	72,9
Республика Бурятия	59,2
Забайкальский край	68,2
Республика Саха (Якутия)	66,09
Камчатский край	78,5
Приморский край	77,4
Хабаровский край	82,1
Амурская область	67,7
Магаданская область	96,1
Сахалинская область	82,3
Еврейская автономная область	68,7
Чукотский автономный округ	71,5
Крымский федеральный округ	
Доля городского населения в общей численности населения на 1 января 2020	
