region	Реальные денежные доходы населения по субъектам Российской Федерации, в % к соответствующему периоду
Российская Федерация	97,6
Центральный федеральный округ	97,3
Белгородская область  	98,1
Брянская область 	95,3
Владимирская область	97,6
Воронежская область	95,2
Ивановская область	97
Калужская область	98,4
Костромская область 	95,4
Курская область	97,4
Липецкая область	94,9
Московская область	96,7
Орловская область	98
Рязанская область	96,9
Смоленская область	97,8
Тамбовская область 	93,9
Тверская область	96,8
Тульская область	97,6
Ярославская область   	98,1
г.Москва	98
Северо-Западный федеральный округ	99
Республика Карелия	99,4
Республика Коми	96,9
Архангельская область   	98
    Ненецкий авт.округ	101
Архангельская область без авт.округа	97,8
Вологодская область	99,1
Калининградская область	96,9
Ленинградская область 	100,4
Мурманская область   	99,7
Новгородская область	95,4
Псковская область   	98,8
г.Санкт-Петербург	99,4
Южный федеральный округ	98,8
Республика Адыгея  	100
Республика Калмыкия	102,1
Республика Крым	98,7
Краснодарский край	98,5
Астраханская область	96,9
Волгоградская область	100,4
Ростовская область 	98,4
г.Севастополь	100,7
Северо-Кавказский федеральный округ	96,5
Республика Дагестан	97,1
Республика Ингушетия	99,7
Кабардино-Балкарская  Республика	97,7
Карачаево-Черкесская  Республика	95,1
Республика  Северная Осетия - Алания	94,5
Чеченская Республика	99,3
Ставропольский край	94
Приволжский федеральный округ	96,6
Республика Башкортостан	94,7
Республика Марий Эл  	98,2
Республика Мордовия	100,3
Республика Татарстан	96,8
Удмуртская Республика	97,7
Чувашская Республика 	100,8
Пермский край	94,3
Кировская область	97,3
Нижегородская область 	94,9
Оренбургская область	96,6
Пензенская область 	99,4
Самарская область	96,3
Саратовская область	99,7
Ульяновская область	98,7
Уральский федеральный округ	96,8
Курганская область	97,1
Свердловская область	92,2
Тюменская область   	100,3
    Ханты-Мансийский авт.округ	99,3
    Ямало-Ненецкий авт.округ	104,6
Тюменская область без авт.округов	98,1
Челябинская область	99
Сибирский федеральный округ	97,8
Республика Алтай	102,6
Республика Бурятия	
Республика Тыва	103
Республика Хакасия	100,1
Алтайский край	95,5
Забайкальский край	
Красноярский край   	98,7
Иркутская область	98,2
Кемеровская область	96,9
Новосибирская область	98,6
Омская область	97
Томская область	97,5
Дальневосточный федеральный округ	97,7
Республика Бурятия	97,6
Республика Саха (Якутия)	97,8
Забайкальский край	98,4
Камчатский край   	100
Приморский край	97
Хабаровский край 	96,2
Амурская область	99
Магаданская область 	100,5
Сахалинская область   	97,5
Еврейская  авт.область	98,9
Чукотский  авт.округ	105,1
Реальные денежные доходы населения по субъектам Российской Федерации, в % к соответствующему периоду	
