region	Среднедушевые денежные доходы населения
Российская Федерация	35 740
Центральный федеральный округ	47 538
Белгородская область  	32 835
Брянская область 	28 310
Владимирская область	25 803
Воронежская область	31 997
Ивановская область	26 219
Калужская область	32 183
Костромская область 	25 260
Курская область	29 671
Липецкая область	32 201
Московская область	46 519
Орловская область	26 705
Рязанская область	27 248
Смоленская область	27 998
Тамбовская область 	27 771
Тверская область	27 530
Тульская область	29 208
Ярославская область   	29 475
г.Москва	75 655
Северо-Западный федеральный округ	38 866
Республика Карелия	32 124
Республика Коми	36 260
Архангельская область   	36 573
    Ненецкий авт.округ	83 976
Архангельская область без авт.округа	34 644
Вологодская область	29 369
Калининградская область	28 852
Ленинградская область 	33 004
Мурманская область   	45 996
Новгородская область	25 887
Псковская область   	26 177
г.Санкт-Петербург	48 401
Южный федеральный округ	30 428
Республика Адыгея  	29 871
Республика Калмыкия	19 759
Республика Крым	22 768
Краснодарский край	36 165
Астраханская область	25 150
Волгоградская область	25 268
Ростовская область 	31 331
г.Севастополь	29 331
Северо-Кавказский федеральный округ	24 317
Республика Дагестан	27 641
Республика Ингушетия	16 877
Кабардино-Балкарская  Республика	21 725
Карачаево-Черкесская  Республика	18 531
Республика  Северная Осетия - Алания	23 929
Чеченская Республика	24 391
Ставропольский край	23 791
Приволжский федеральный округ	28 400
Республика Башкортостан	30 128
Республика Марий Эл  	21 230
Республика Мордовия	20 566
Республика Татарстан	35 645
Удмуртская Республика	25 409
Чувашская Республика 	21 043
Пермский край	29 937
Кировская область	24 061
Нижегородская область 	33 518
Оренбургская область	24 430
Пензенская область 	23 879
Самарская область	29 543
Саратовская область	23 905
Ульяновская область	24 458
Уральский федеральный округ	36 817
Курганская область	21 707
Свердловская область	37 239
Тюменская область   	49 415
    Ханты-Мансийский авт.округ	53 886
    Ямало-Ненецкий авт.округ	88 102
Тюменская область без авт.округов	30 829
Челябинская область	26 151
Сибирский федеральный округ	27 659
Республика Алтай	21 277
Республика Бурятия	
Республика Тыва	17 629
Республика Хакасия	23 678
Алтайский край	23 860
Забайкальский край	
Красноярский край   	32 453
Иркутская область	26 964
Кемеровская область	25 109
Новосибирская область	31 182
Омская область	27 262
Томская область	28 786
Дальневосточный федеральный округ	38 696
Республика Бурятия	25 770
Республика Саха (Якутия)	45 552
Забайкальский край	26 626
Камчатский край   	54 227
Приморский край	37 342
Хабаровский край 	41 734
Амурская область	35 020
Магаданская область 	68 302
Сахалинская область   	60 136
Еврейская  авт.область	27 957
Чукотский  авт.округ	89 436
Среднедушевые денежные доходы населения по субъектам Российской Федерации	
