region	Средняя численность работников малых предприятий (без микропредприятий)
Российская Федерация	5469124,3
Центральный федеральный округ	1943852
Белгородская область	55501
Брянская область	36862
Владимирская область	60678
Воронежская область	90935
Ивановская область	41309
Калужская область	45452
Костромская область	25788
Курская область	30898
Липецкая область	36329
Московская область	330696
Орловская область	23258
Рязанская область	46062
Смоленская область	35356
Тамбовская область	26975
Тверская область	49768
Тульская область	59509
Ярославская область	47056
г.Москва	901420
Северо-Западный федеральный округ	665287
Республика Карелия	21690
Республика Коми	24106
Архангельская область	34087
Ненецкий автономный округ	1102
Архангельская область (без АО)	32985
Вологодская область	47744
Калининградская область	44782
Ленинградская область	54016
Мурманская область	16852
Новгородская область	18393
Псковская область	22249
г.Санкт-Петербург	381368
Южный федеральный округ	431943
Республика Адыгея (Адыгея)	9951
Республика Калмыкия	3376
Республика Крым	41294
Краснодарский край	150080
Астраханская область	19055
Волгоградская область	60346
Ростовская область	135869
г. Севастополь	11972
Северо-Кавказский федеральный округ	95960
Республика Дагестан	11824
Республика Ингушетия	1398
Кабардино-Балкарская Республика	7672
Карачаево-Черкесская Республика	3921
Республика Северная Осетия- Алания	7424
Чеченская Республика	4467
Ставропольский край	59254
Приволжский федеральный округ	1043167
Республика Башкортостан	112627
Республика Марий Эл	21837
Республика Мордовия	23142
Республика Татарстан	165176
Удмуртская Республика	58584
Чувашская Республика-Чувашия	40320
Пермский край	92040
Кировская область	44841
Hижегородская область	135523
Оренбургская область	52400
Пензенская область	41539
Самарская область	138023
Саратовская область	70925
Ульяновская область	46190
Уральский федеральный округ	442721
Курганская область	20121
Свердловская область	166254
Тюменская область	140872
Ханты-Мансийский авт.округ - Югра	59861
Ямало-Hенецкий авт.округ	16545
Тюменская область (без АО)	64466
Челябинская область	115474
Сибирский                                     федеральный  округ	567879,3
Республика Алтай	5478
Республика Бурятия	 -
Республика Тыва	1775
Республика Хакасия	10371
Алтайский край	68685
Забайкальский край	 -
Красноярский край	96913
Иркутская область	78352
Кемеровская область	77835,3
Новосибирская область	131401
Омская область	61223
Томская область	35846
Дальневосточный                          федеральный  округ	278315
Республика Бурятия	17692
Республика Саха (Якутия)	21826
Забайкальский край	20390
Камчатский край	11714
Приморский край	79163
Хабаровский край	74808
Амурская область	20361
Магаданская область	7608
Сахалинская область	20718
Еврейская автономная область	3157
Чукотский автономный округ	878
Средняя численность работников малых предприятий (без микропредприятий)	0
	
	
	
