region	Средняя численность работников микропредприятий
Российская Федерация	5362912
Центральный федеральный округ	1573469
Белгородская область	49759
Брянская область	29997
Владимирская область	44686
Воронежская область	79018
Ивановская область	36378
Калужская область	31934
Костромская область	21373
Курская область	24036
Липецкая область	32566
Московская область	291026
Орловская область	17129
Рязанская область	34631
Смоленская область	31028
Тамбовская область	23555
Тверская область	40294
Тульская область	49125
Ярославская область	46124
г.Москва	690810
Северо-Западный федеральный округ	696282
Республика Карелия	24968
Республика Коми	26006
Архангельская область	29775
Ненецкий автономный округ	893
Архангельская область (без АО)	28882
Вологодская область	44163
Калининградская область	73859
Ленинградская область	70418
Мурманская область	18979
Новгородская область	12038
Псковская область	27023
г.Санкт-Петербург	369053
Южный федеральный округ	507510
Республика Адыгея (Адыгея)	9500
Республика Калмыкия	3151
Республика Крым	52196
Краснодарский край	183391
Астраханская область	20181
Волгоградская область	61274
Ростовская область	155933
г. Севастополь	21884
Северо-Кавказский федеральный округ	149808
Республика Дагестан	45869
Республика Ингушетия	3040
Кабардино-Балкарская Республика	11197
Карачаево-Черкесская Республика	6065
Республика Северная Осетия- Алания	10220
Чеченская Республика	19469
Ставропольский край	53948
Приволжский федеральный округ	1123747
Республика Башкортостан	178066
Республика Марий Эл	16973
Республика Мордовия	17998
Республика Татарстан	144491
Удмуртская Республика	55476
Чувашская Республика-Чувашия	32486
Пермский край	87700
Кировская область	43333
Hижегородская область	227743
Оренбургская область	57692
Пензенская область	40955
Самарская область	109104
Саратовская область	76020
Ульяновская область	35710
Уральский федеральный округ	451754
Курганская область	15074
Свердловская область	218306
Тюменская область	106589
Ханты-Мансийский авт.округ - Югра	37943
Ямало-Hенецкий авт.округ	11543
Тюменская область (без АО)	57103
Челябинская область	111785
Сибирский                                     федеральный  округ	603191
Республика Алтай	4124
Республика Бурятия	
Республика Тыва	1964
Республика Хакасия	8859
Алтайский край	71258
Забайкальский край	
Красноярский край	86412
Иркутская область	86203
Кемеровская область	70982
Новосибирская область	187553
Омская область	50874
Томская область	34962
Дальневосточный                          федеральный  округ	257151
Республика Бурятия	19136
Республика Саха (Якутия)	24616
Забайкальский край	13116
Камчатский край	12712
Приморский край	88993
Хабаровский край	50348
Амурская область	25985
Магаданская область	4578
Сахалинская область	13756
Еврейская автономная область	2984
Чукотский автономный округ	927
Средняя численность работников микропредприятий	
	
	
