region	Оплата труда	Доходы от предпринимательской деятельности	Социальные выплаты	Доходы от собственности	Прочие денежные поступления
Российская Федерация	57,6	5,9	18,9	5,1	12,5
Центральный федеральный округ	59,9	5,1	15,9	7,2	11,9
Белгородская область	45,2	9,7	20,1	3,4	21,6
Брянская область	42,2	7	23,5	2,7	24,6
Владимирская область	58,2	5,5	26,7	4,5	5,1
Воронежская область	45,4	5,8	19,5	3,4	25,9
Ивановская область	49,9	6,8	23,8	3,5	16
Калужская область	61,2	4,9	21,4	5,6	6,9
Костромская область	55,9	9,8	26,4	3,1	4,8
Курская область	47,8	10,4	23	2,9	15,9
Липецкая область	46,9	11,5	20,2	3,3	18,1
Московская область	52,7	4,5	13,7	5	24,1
Орловская область	52,6	11,6	27,5	2,6	5,7
Рязанская область	57,6	3,9	25,9	3,5	9,1
Смоленская область	51,8	3,8	23,4	3,9	17,1
Тамбовская область	42,7	8,9	22,7	2	23,7
Тверская область	50,6	4,1	25,5	3,1	16,7
Тульская область	60,6	6,6	25,2	3,4	4,2
Ярославская область	58,1	5,9	24	5,8	6,2
г. Москва	67,9	4,2	12,4	10,2	5,3
Северо-Западный федеральный округ	63,4	6,2	20	6,8	3,6
Республика Карелия	59,3	5,3	30,1	3	2,3
Республика Коми	66,5	4,5	25,4	3,1	0,5
Архангельская область 	63,2	6,4	26,3	3,1	1
Ненецкий АО	79	1,5	18	0,9	0,6
Архангельская область без НАО	61,7	6,9	27,1	3,3	1
Вологодская область	60,3	5,4	25,3	3,4	5,6
Калининградская область	58,2	11,1	21,6	6,9	2,2
Ленинградская область	61,6	6,7	17,7	3,9	10,1
Мурманская область	70,2	3,4	21,3	4,5	0,6
Новгородская область	53,4	5,7	26,4	3,7	10,8
Псковская область	56,6	5,3	26	2,5	9,6
г.Санкт-Петербург 	65	6,3	16,2	10	2,5
Южный федеральный округ	46	8,9	19,4	2,9	22,8
Республика Адыгея	31,4	7,7	17,6	1,8	41,5
Республика Калмыкия	54,7	11,5	28,1	1,1	4,6
Республика Крым	51,2	6,3	25,5	2,1	14,9
Краснодарский край	41,9	9,7	16,4	2,9	29,1
Астраханская область	52,2	6,3	20,3	2,2	19
Волгоградская область	47,7	5,8	24,2	3,5	18,8
Ростовская область	49,2	11,1	19,3	3,3	17,1
г. Севастополь	54,4	5	19,5	2,2	18,9
Северо-Кавказский федеральный округ	33,3	8	20,2	1,1	37,4
Республика Дагестан	20,9	5,4	14,1	0,4	59,2
Республика Ингушетия	32,1	1	29,3	0,3	37,3
Кабардино-Балкарская Республика	27,5	16	18,8	1	36,7
Карачаево-Черкесская Республика	39,9	13,8	27,4	0,8	18,1
Республика Северная Осетия-Алания	40,8	7,9	23,1	1,3	26,9
Чеченская Республика	30,1	7,1	26,8	0,2	35,8
Ставропольский край	49,5	9,4	21,9	2,6	16,6
Приволжский федеральный округ	53,1	5,6	21,5	3,9	15,9
Республика Башкортостан	45,9	4,9	18,8	2,3	28,1
Республика Марий Эл 	57,4	5,9	28	3,3	5,4
Республика Мордовия	56,5	9,8	29,2	3,1	1,4
Республика Татарстан	45,9	5,2	16	4,7	28,2
Удмуртская Республика	62,8	8,4	24,2	3,3	1,3
Чувашская Республика	55,5	9,4	27,3	4,2	3,6
Пермский край 	55,2	6,8	20,5	3,7	13,8
Кировская область	54,9	5,5	28,5	3,3	7,8
Нижегородская область	58	4,4	19,7	4,8	13,1
Оренбургская область	57,7	9	24,6	3,3	5,4
Пензенская область	60,3	5,9	26,5	2,9	4,4
Самарская область	55,1	3,8	21,7	5,8	13,6
Саратовская область	52,2	4,5	25	3,5	14,8
Ульяновская область	54,6	4,3	27,4	2,8	10,9
Уральский федеральный округ	63,8	4,5	19,1	3,6	9
Курганская область	55,3	5,9	31,1	2	5,7
Свердловская область	54	4,2	17,5	3,8	20,5
Тюменская область 	74,3	4,8	16,4	3,2	1,3
Ханты-Мансийский АО-Югра	75	3,7	17,2	3,3	0,8
Ямало-Ненецкий АО	82,7	2,9	11,9	2	0,5
Тюменская область без АО	64,9	8,8	19,2	4,3	2,8
Челябинская область	62,8	4	25,3	4,2	3,7
Сибирский федеральный округ	61,1	6,9	23,7	3,6	4,7
Республика Алтай	54,4	8,3	29	4,6	3,7
Республика Бурятия					
Республика Тыва	57,2	7,4	33,8	0,8	0,8
Республика Хакасия	60,9	7,3	26,4	2	3,4
Алтайский край	47,9	7,5	25,9	3,4	15,3
Забайкальский край					
Красноярский край 	68,8	6,3	21,2	2,5	1,2
Иркутская область	62	6,4	26,5	3,6	1,5
Кемеровская область	62,8	5,4	26,7	4	1,1
Новосибирская область	64,2	7,1	20,4	5,2	3,1
Омская область	52,3	9,1	22,2	3	13,4
Томская область	64,3	7,3	23,2	3,5	1,7
Дальневосточный федеральный округ	67,8	6,1	19,2	3,2	3,7
Республика Бурятия	59,7	8,7	21,4	1,7	8,5
Республика Саха (Якутия)	71,3	7,1	19,1	1,9	0,6
Забайкальский край	69	5,8	21,8	1,8	1,6
Камчатский край	69,2	2,4	19,6	7,8	1
Приморский край	65,4	5,7	18	3,9	7
Хабаровский край	66,9	5,1	18,8	3,9	5,3
Амурская область	67,9	8,6	20,1	2,5	0,9
Магаданская область	75,7	4,7	15,9	3,1	0,6
Сахалинская область	70,7	6	19,2	3,5	0,6
Еврейская автономная область	65,6	7,9	24,2	1,5	0,8
Чукотский автономный округ	81,9	1,2	14,4	1,6	0,9
Структура денежных доходов населения, процент 2019
