region	Численность безработных в возрасте 15-72 лет
Российская Федерация	4316,023
Центральный федеральный округ	826,641
Белгородская область	40,583
Брянская область	23,287
Владимирская область	39,55
Воронежская область	50,37
Ивановская область	27,887
Калужская область	25,388
Костромская область	17,057
Курская область	27,098
Липецкая область	25,77
Московская область	149,592
Орловская область	21,314
Рязанская область	27,646
Смоленская область	25,21
Тамбовская область	22,83
Тверская область	28,978
Тульская область	35,068
Ярославская область	47,4
г. Москва	191,613
Северо-Западный федеральный округ	374,075
Республика Карелия	26,02
Республика Коми	32,133
Архангельская область	40,256
"     в том числе: 
Ненецкий автономный округ"	1,917
Архангельская область без авт. округа	38,339
Вологодская область	35,011
Калининградская область	31,26
Ленинградская область	51,94
Мурманская область	31,536
Новгородская область	16,724
Псковская область	19,196
г.Санкт-Петербург	89,999
Южный федеральный округ	498,483
Республика Адыгея	17,047
Республика Калмыкия	12,936
Республика Крым	58,497
Краснодарский край	160,022
Астраханская область	39,417
Волгоградская область	94,407
Ростовская область	106,251
г. Севастополь	9,906
Северо-Кавказский федеральный округ	625,216
Республика Дагестан	201,515
Республика Ингушетия	77,659
Кабардино-Балкарская Республика	66,898
Карачаево-Черкесская Республика	30,114
Республика Северная Осетия - Алания	43,787
Чеченская Республика	120,615
Ставропольский край	84,629
Приволжский федеральный округ	754,692
Республика Башкортостан	111,659
Республика Марий Эл	21,921
Республика Мордовия	21,621
Республика Татарстан	73,701
Удмуртская Республика	48,182
Чувашская Республика	36,623
Пермский край	70,496
Кировская область	34,057
Нижегородская область	80,001
Оренбургская область	55,358
Пензенская область	32,294
Самарская область	74,559
Саратовская область	65,049
Ульяновская область	29,17
Уральский федеральный округ	348,26
Курганская область	30,442
Свердловская область	122,196
Тюменская область	69,764
"     в том числе: 
Ханты-Мансийский автономный округ - Югра"	27,198
Ямало-Ненецкий автономный округ	7,274
Тюменская область без авт. округов	35,293
Челябинская область	125,857
Сибирский федеральный округ	614,607
Республика Алтай	13,762
Республика Тыва	23,508
Республика Хакасия	20,77
Алтайский край	64,639
Красноярский край	87,841
Иркутская область	88,782
Кемеровская область	85,429
Новосибирская область	92,83
Омская область	90,628
Томская область	46,418
Дальневосточный федеральный округ	274,05
Республика Бурятия	44,921
Республика Саха (Якутия)	36,973
Забайкальский край	51,489
Камчатский край	6,887
Приморский край	54,65
Хабаровский край	28,742
Амурская область	24,033
Магаданская область	4,852
Сахалинская область	15,232
Еврейская автономная область	4,901
Чукотский автономный округ	1,369
Численность безработных в возрасте 15-72 лет	
