region	Численность постоянного населения	
Российская Федерация	146764655	
Центральный федеральный округ	39405807	
Белгородская область	1548284	
Брянская область	1196339	
Владимирская область	1362110	
Воронежская область	2326013	
Ивановская область	1000657	
Калужская область	1005978	
Костромская область	635325	
Курская область	1105524	
Липецкая область	1141703	
Московская область	7645255	
Орловская область	736483	
Рязанская область	1111492	
Смоленская область	938625	
Тамбовская область	1011357	
Тверская область	1265007	
Тульская область	1472472	
Ярославская область	1256501	
Город Москва столица Российской Федерации город федерального значения	12646679	
Северо-Западный федеральный округ	13977031	
Республика Карелия	616059	
Республика Коми	825353	
Архангельская область	1140327	
Ненецкий автономный округ (Архангельская область)	43970	
Архангельская область (кроме Ненецкого автономного округа)	1096357	
Вологодская область	1164079	
Калининградская область	1007349	
Ленинградская область	1861869	
Мурманская область	744729	
Новгородская область	598401	
Псковская область	627882	
Город Санкт-Петербург город федерального значения	5390977	
Южный федеральный округ (с 2010 года)		
Южный федеральный округ (с 29.07.2016)	16460317	
Республика Адыгея (Адыгея)	458915	
Республика Калмыкия	271891	
Республика Крым	1912220	
Краснодарский край	5661848	
Астраханская область	1009924	
Волгоградская область	2499272	
Ростовская область	4200071	
Город федерального значения Севастополь	446174	
Северо-Кавказский федеральный округ	9898841	
Республика Дагестан	3098492	
Республика Ингушетия	502226	
Кабардино-Балкарская Республика	867284	
Карачаево-Черкесская Республика	465546	
Республика Северная Осетия-Алания	698044	
Чеченская Республика	1467838	
Ставропольский край	2799408	
Приволжский федеральный округ	29342448	
Республика Башкортостан	4044578	
Республика Марий Эл	679899	
Республика Мордовия	792850	
Республика Татарстан (Татарстан)	3900758	
Удмуртская Республика	1504172	
Чувашская Республика - Чувашия	1220605	
Пермский край	2605030	
Кировская область	1267255	
Нижегородская область	3208785	
Оренбургская область	1959921	
Пензенская область	1311833	
Самарская область	3181285	
Саратовская область	2431355	
Ульяновская область	1234120	
Уральский федеральный округ	12355437	
Курганская область	830933	
Свердловская область	4313190	
Тюменская область	3740252	
Ханты-Мансийский автономный округ - Югра (Тюменская область)	1669236	
Ямало-Ненецкий автономный округ (Тюменская область)	542961	
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)	1528055	
Челябинская область	3471061	
Сибирский федеральный округ		
Сибирский федеральный округ	17145861	
Республика Алтай	219524	
Республика Тыва	325902	
Республика Хакасия	535215	
Алтайский край	2324983	
Красноярский край	2870140	
Иркутская область	2394478	
Кемеровская область - Кузбасс	2666055	
Новосибирская область	2795777	
Омская область	1935430	
Томская область	1078355	
Дальневосточный федеральный округ		
Дальневосточный федеральный округ	8178913	
Республика Бурятия	984604	
Забайкальский край	1062742	
Республика Саха (Якутия)	969502	
Камчатский край	313868	
Приморский край	1899293	
Хабаровский край	1318557	
Амурская область	791619	
Магаданская область	140691	
Сахалинская область	488947	
Еврейская автономная область	159109	
Чукотский автономный округ	49975	
Крымский федеральный округ		
Численность постоянного населения в среднем за год 2019		
