region	Численность индивидуальных предпринимателей							
Российская Федерация	2738576							
Центральный федеральный округ	811485							
Белгородская область	31463							
Брянская область	19614							
Владимирская область	30714							
Воронежская область	41933							
Ивановская область	20563							
Калужская область	22825							
Костромская область	12582							
Курская область	21700							
Липецкая область	24299							
Московская область	173543							
Орловская область	15869							
Рязанская область	16195							
Смоленская область	18409							
Тамбовская область	19949							
Тверская область	25244							
Тульская область	30010							
Ярославская область	25012							
г. Москва	261561							
Северо-Западный федеральный округ	243965							
Республика Карелия	12623							
Республика Коми	13453							
Архангельская область	14000							
Ненецкий автономный округ	328							
Архангельсая область (без АО)	13672							
Вологодская область	23284							
Калининградская область	16721							
Ленинградская область	33104							
Мурманская область	11237							
Новгородская область	11705							
Псковская область	12081							
 г. Санкт-Петербург	95757							
Южный федеральный округ	414687							
Республика Адыгея	10582							
Республика Калмыкия	6582							
Республика Крым	54505							
Краснодарский край	164808							
Астраханская область	19338							
Волгоградская область	43448							
Ростовская область	103328							
Город федерального значения Севастополь	12096							
Северо-Кавказский федеральный округ	128833							
Республика Дагестан	24912							
Республика Ингушетия	3429							
Кабардино-Балкарская Республика	9746							
Карачаево-Черкесская Республика	6486							
Республика Северная Осетия-Алания	11726							
Чеченская Республика	11039							
Ставропольский край	61495							
Приволжский федеральный округ	481528							
Республика Башкортостан	61576							
Республика Марий Эл	10719							
Республика Мордовия	13238							
Республика Татарстан	63107							
Удмуртская Республика	25587							
Чувашская Республика	26359							
Пермский край	46281							
Кировская область	25545							
Нижегородская область	30789							
Оренбургская область	32951							
Пензенская область	27050							
Самарская область	56773							
Саратовская область	40840							
Ульяновская область	20713							
Уральский федеральный округ	207708							
Курганская область	9480							
Свердловская область	83775							
Тюменская область	60009							
"Ханты-Мансийский 
автономный округ - Югра"	28559							
 Ямало-Ненецкий автономный округ	7467							
Тюменская область (без АО)	23983							
Челябинская область	54444							
Сибирский федеральный округ	295495							
Республика Алтай	3848							
Республика Бурятия	-							
Республика Тыва	5737							
Республика Хакасия	10629							
Алтайский край	37415							
Забайкальский край	-							
Красноярский край	53282							
Иркутская область	45620							
Кемеровская область	37410							
Новосибирская область	60301							
Омская область	24794							
Томская область	16459							
Дальневосточный федеральный округ	154875							
Республика Бурятия	14111							
Республика Саха (Якутия)	25282							
Забайкальский край	15812							
Камчатский край	7898							
Приморский край	36770							
Хабаровский край	22331							
Амурская область	12324							
Магаданская область	2819							
Сахалинская область	14080							
Еврейская автономная область	2663							
Чукотский автономный округ	785							
Численность фактически действующих индивидуальных предпринимателей по субъектам Российской Федерации 2019								
