region	Число выбывших из региона	
Российская Федерация	2441028	
Центральный федеральный округ	675189	
Белгородская область	21452	
Брянская область	18864	
Владимирская область	19817	
Воронежская область	31156	
Ивановская область	18846	
Калужская область	14508	
Костромская область	11502	
Курская область	16062	
Липецкая область	12913	
Московская область	198600	
Орловская область	8695	
Рязанская область	18173	
Смоленская область	15669	
Тамбовская область	12299	
Тверская область	21543	
Тульская область	19912	
Ярославская область	20454	
Город Москва столица Российской Федерации город федерального значения	194724	
Северо-Западный федеральный округ	354333	
Республика Карелия	11724	
Республика Коми	21811	
Архангельская область	24644	
Ненецкий автономный округ (Архангельская область)	1281	
Архангельская область (кроме Ненецкого автономного округа)	23363	
Вологодская область	14185	
Вологда		
Череповец		
Калининградская область	22340	
Ленинградская область	41508	
Мурманская область	27309	
Новгородская область	13232	
Псковская область	14363	
Город Санкт-Петербург город федерального значения	163217	
Южный федеральный округ (с 29.07.2016)	218322	
Республика Адыгея (Адыгея)	6151	
Республика Калмыкия	5325	
Республика Крым	20303	
Краснодарский край	72569	
Краснодар		
Армавир		
Новороссийск		
Сочи		
Астраханская область	12423	
Волгоградская область	34346	
Ростовская область	53907	
Город федерального значения Севастополь	13298	
Северо-Кавказский федеральный округ	83087	
Республика Дагестан	18036	
Республика Ингушетия	3611	
Кабардино-Балкарская Республика	5899	
Карачаево-Черкесская Республика	4898	
Республика Северная Осетия-Алания	7083	
Чеченская Республика	6350	
Ставропольский край	37210	
Приволжский федеральный округ	400938	
Республика Башкортостан	59872	
Республика Марий Эл	11296	
Республика Мордовия	10069	
Республика Татарстан (Татарстан)	51619	
Удмуртская Республика	18165	
Чувашская Республика - Чувашия	19366	
Пермский край	42259	
Кировская область	27601	
Нижегородская область	39129	
Оренбургская область	21150	
Пензенская область	14020	
Самарская область	38314	
Саратовская область	32824	
Ульяновская область	15254	
Уральский федеральный округ	237130	
Курганская область	14294	
Свердловская область	71106	
Тюменская область	96636	
Ханты-Мансийский автономный округ - Югра (Тюменская область)	50858	
Ямало-Ненецкий автономный округ (Тюменская область)	21800	
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)	23978	
Челябинская область	55094	
Сибирский федеральный округ	288942	
Республика Алтай	3149	
Республика Тыва	6453	
Республика Хакасия	12320	
Алтайский край	27406	
Чита		
Красноярский край	70266	
Иркутская область	35533	
Кемеровская область - Кузбасс	47872	
Новосибирская область	38924	
Омская область	26582	
Томская область	20437	
Томск		
Дальневосточный федеральный округ	183087	
Республика Бурятия	20628	
Забайкальский край	18273	
Республика Саха (Якутия)	24568	
Камчатский край	7689	
Приморский край	42833	
Хабаровский край	28784	
Амурская область	15167	
Магаданская область	6085	
Сахалинская область	11909	
Еврейская автономная область	2925	
Чукотский автономный округ	4226	
Северск		
Число выбывших по полу, возрасту и потокам передвижения 2020		
