region	Число прибывших в регион	
Российская Федерация	2479786	
Центральный федеральный округ	693353	
Белгородская область	22254	
Брянская область	18579	
Владимирская область	16793	
Воронежская область	31504	
Ивановская область	17978	
Калужская область	16107	
Костромская область	12884	
Курская область	17114	
Липецкая область	12135	
Московская область	212965	
Орловская область	6815	
Рязанская область	18510	
Смоленская область	14432	
Тамбовская область	12694	
Тверская область	21366	
Тульская область	18930	
Ярославская область	18493	
Город Москва столица Российской Федерации город федерального значения	203800	
Северо-Западный федеральный округ	377457	
Республика Карелия	12350	
Республика Коми	18197	
Архангельская область	24644	
Ненецкий автономный округ (Архангельская область)	1491	
Архангельская область (кроме Ненецкого автономного округа)	23153	
Вологодская область	12606	
Вологда		
Череповец		
Калининградская область	30048	
Ленинградская область	62674	
Мурманская область	23690	
Новгородская область	13917	
Псковская область	15088	
Город Санкт-Петербург город федерального значения	164243	
Южный федеральный округ (с 29.07.2016)	243003	
Республика Адыгея (Адыгея)	6052	
Республика Калмыкия	5485	
Республика Крым	21732	
Краснодарский край	90122	
Краснодар		
Армавир		
Новороссийск		
Сочи		
Астраханская область	9996	
Волгоградская область	35205	
Ростовская область	52651	
Город федерального значения Севастополь	21760	
Северо-Кавказский федеральный округ	85197	
Республика Дагестан	17503	
Республика Ингушетия	5006	
Кабардино-Балкарская Республика	5907	
Карачаево-Черкесская Республика	4892	
Республика Северная Осетия-Алания	5031	
Чеченская Республика	5688	
Ставропольский край	41170	
Приволжский федеральный округ	400759	
Республика Башкортостан	58949	
Республика Марий Эл	13859	
Республика Мордовия	9467	
Республика Татарстан (Татарстан)	49484	
Удмуртская Республика	18910	
Чувашская Республика - Чувашия	19190	
Пермский край	38872	
Кировская область	30254	
Нижегородская область	42514	
Оренбургская область	22380	
Пензенская область	13931	
Самарская область	35750	
Саратовская область	31841	
Ульяновская область	15358	
Уральский федеральный округ	240551	
Курганская область	13659	
Свердловская область	70664	
Тюменская область	102619	
Ханты-Мансийский автономный округ - Югра (Тюменская область)	51247	
Ямало-Ненецкий автономный округ (Тюменская область)	21059	
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)	30313	
Челябинская область	53609	
Сибирский федеральный округ	270560	
Республика Алтай	3065	
Республика Тыва	5656	
Республика Хакасия	12940	
Алтайский край	29361	
Чита		
Красноярский край	69963	
Иркутская область	31000	
Кемеровская область - Кузбасс	43050	
Новосибирская область	39390	
Омская область	21983	
Томская область	14152	
Томск		
Дальневосточный федеральный округ	168906	
Республика Бурятия	19203	
Забайкальский край	16868	
Республика Саха (Якутия)	22115	
Камчатский край	7419	
Приморский край	40603	
Хабаровский край	25569	
Амурская область	15142	
Магаданская область	5195	
Сахалинская область	11437	
Еврейская автономная область	2008	
Чукотский автономный округ	3347	
Северск		
Число прибывших по полу, возрасту и потокам передвижения 2020		
