iter	RMSE
0	122585.2688
1	109438.8721
2	103608.7236
3	100686.4992
4	98433.84537
5	96526.06617
6	95409.77848
7	94485.67597
8	94008.1389
9	93135.73555
10	92566.78856
11	91856.05717
12	91259.19639
13	90242.64185
14	89675.07673
15	88955.64375
16	88251.70952
17	87794.79966
18	87462.28259
19	86828.92076
20	86366.07993
21	86091.90865
22	85538.92942
23	85169.61121
24	84722.66465
25	83948.71479
26	83583.70775
27	83142.08986
28	82733.17347
29	81961.84546
30	81552.18552
31	81051.74864
32	80727.30046
33	80458.66681
34	80248.73065
35	79951.99046
36	79546.94407
37	79428.14122
38	79063.32481
39	78735.60055
40	78531.23398
41	78265.84163
42	77932.57997
43	77664.87621
44	77468.39785
45	77225.22103
46	76953.38293
47	76636.17017
48	76240.44085
49	76138.94961
50	75977.26147
51	75759.82569
52	75629.73546
53	75530.80075
54	75311.08331
55	74981.15669
56	74796.66587
57	74641.37464
58	74407.17358
59	74106.26959
60	73924.89667
61	73691.94411
62	73528.10601
63	73466.56112
64	73412.3308
65	73146.52731
66	72974.51842
67	72807.05526
68	72663.50869
69	72520.13055
70	72445.97432
71	72339.26229
72	72303.74168
73	72075.09271
74	71926.91557
75	71872.97071
76	71630.66793
77	71374.8735
78	71311.23201
79	71119.58112
80	71041.61119
81	71034.16137
82	70734.69845
83	70595.87718
84	70455.91543
85	70247.88162
86	70020.26255
87	70005.77401
88	69856.86876
89	69727.62221
90	69554.86242
91	69418.6906
92	69278.62538
93	69092.28067
94	68936.87537
95	68856.33392
96	68766.77298
97	68621.34057
98	68485.39882
99	68385.20573
