iter	Passed	Remaining
0	19	1951
1	37	1813
2	49	1592
3	58	1406
4	67	1274
5	74	1172
6	81	1083
7	87	1008
8	93	947
9	100	901
10	107	872
11	115	845
12	121	812
13	127	786
14	134	761
15	140	738
16	147	718
17	153	698
18	159	680
19	165	663
20	172	649
21	178	632
22	184	619
23	191	607
24	198	595
25	205	583
26	212	573
27	218	562
28	225	551
29	231	541
30	238	530
31	244	520
32	250	509
33	256	497
34	262	487
35	268	477
36	275	469
37	281	458
38	287	449
39	294	441
40	300	432
41	307	423
42	313	415
43	320	407
44	326	398
45	333	391
46	340	383
47	346	375
48	353	367
49	359	359
50	364	350
51	371	342
52	377	334
53	384	327
54	390	319
55	396	311
56	402	303
57	409	296
58	415	288
59	422	281
60	429	274
61	436	267
62	443	260
63	448	252
64	454	244
65	461	237
66	467	230
67	474	223
68	481	216
69	488	209
70	494	201
71	500	194
72	507	187
73	513	180
74	520	173
75	526	166
76	533	159
77	539	152
78	545	144
79	551	137
80	557	130
81	562	123
82	568	116
83	575	109
84	581	102
85	588	95
86	595	88
87	600	81
88	607	75
89	613	68
90	619	61
91	625	54
92	632	47
93	639	40
94	645	33
95	652	27
96	658	20
97	665	13
98	672	6
99	678	0
