,Price
2020-01-01,69.3056
2020-01-02,69.3056
2020-01-03,69.3056
2020-01-04,69.25623333333333
2020-01-05,69.20686666666667
2020-01-06,69.1575
2020-01-07,68.60374999999999
2020-01-08,68.05
2020-01-09,68.0385
2020-01-10,67.894
2020-01-11,68.01683333333334
2020-01-12,68.13966666666667
2020-01-13,68.2625
2020-01-14,68.37
2020-01-15,68.48
2020-01-16,68.6714
2020-01-17,68.2783
2020-01-18,68.29506666666667
2020-01-19,68.31183333333333
2020-01-20,68.3286
2020-01-21,68.62
2020-01-22,68.5975
2020-01-23,68.4225
2020-01-24,68.479
2020-01-25,68.77766666666666
2020-01-26,69.07633333333334
2020-01-27,69.375
2020-01-28,68.6268
2020-01-29,68.87
2020-01-30,69.8231
2020-01-31,70.865
2020-02-01,70.72083333333333
2020-02-02,70.57666666666667
2020-02-03,70.4325
2020-02-04,69.6767
2020-02-05,69.1863
2020-02-06,69.5534
2020-02-07,70.16
2020-02-08,70.10083333333333
2020-02-09,70.04166666666667
2020-02-10,69.9825
2020-02-11,69.2147
2020-02-12,68.745
2020-02-13,68.9842
2020-02-14,68.8755
2020-02-15,68.8302
2020-02-16,68.7849
2020-02-17,68.7396
2020-02-18,68.89
2020-02-19,68.6997
2020-02-20,69.2453
2020-02-21,69.5048
2020-02-22,69.90485000000001
2020-02-23,70.3049
2020-02-24,70.70495
2020-02-25,71.105
2020-02-26,71.274
2020-02-27,72.547
2020-02-28,73.8165
2020-02-29,73.88643333333334
2020-03-01,73.95636666666667
2020-03-02,74.0263
2020-03-03,73.7107
2020-03-04,73.8006
2020-03-05,75.9058
2020-03-06,77.5494
2020-03-07,78.29175000000001
2020-03-08,79.0341
2020-03-09,79.77645
2020-03-10,80.5188
2020-03-11,82.169
2020-03-12,83.6534
2020-03-13,80.6873
2020-03-14,81.6137
2020-03-15,82.5401
2020-03-16,83.4665
2020-03-17,82.9532
2020-03-18,88.2395
2020-03-19,84.71
2020-03-20,85.5
2020-03-21,85.48333333333333
2020-03-22,85.46666666666667
2020-03-23,85.45
2020-03-24,84.4726
2020-03-25,85.165
2020-03-26,85.4306
2020-03-27,87.8067
2020-03-28,87.76520000000001
2020-03-29,87.7237
2020-03-30,87.6822
2020-03-31,86.4507
2020-04-01,86.4
2020-04-02,83.9017
2020-04-03,82.6902
2020-04-04,82.4768
2020-04-05,82.2634
2020-04-06,82.05
2020-04-07,82.3371
2020-04-08,81.251
2020-04-09,81.1757
2020-04-10,80.7302
2020-04-11,80.5954
2020-04-12,80.4606
2020-04-13,80.3258
2020-04-14,80.1513
2020-04-15,81.655
2020-04-16,80.3263
2020-04-17,80.465
2020-04-18,80.9731
2020-04-19,81.4812
2020-04-20,81.9893
2020-04-21,83.7148
2020-04-22,82.1582
2020-04-23,80.6443
2020-04-24,80.6732
2020-04-25,80.678
2020-04-26,80.6828
2020-04-27,80.6876
2020-04-28,80.2
2020-04-29,79.3905
2020-04-30,81.4573
2020-05-01,81.481925
2020-05-02,81.50655
2020-05-03,81.531175
2020-05-04,81.5558
2020-05-05,79.9414
2020-05-06,80.48
2020-05-07,80.2528
2020-05-08,79.5853
2020-05-09,79.68585
2020-05-10,79.7864
2020-05-11,79.88695
2020-05-12,79.9875
2020-05-13,79.95
2020-05-14,79.3175
2020-05-15,79.6213
2020-05-16,79.52036666666667
2020-05-17,79.41943333333333
2020-05-18,79.3185
2020-05-19,79.185
2020-05-20,78.0352
2020-05-21,77.7
2020-05-22,78.076
2020-05-23,78.10066666666667
2020-05-24,78.12533333333333
2020-05-25,78.15
2020-05-26,77.75
2020-05-27,78.1004
2020-05-28,78.0924
2020-05-29,77.9317
2020-05-30,77.60536666666667
2020-05-31,77.27903333333333
2020-06-01,76.9527
2020-06-02,76.7025
2020-06-03,77.1502
2020-06-04,78.3651
2020-06-05,77.5513
2020-06-06,77.37216666666667
2020-06-07,77.19303333333333
2020-06-08,77.0139
2020-06-09,77.7032
2020-06-10,77.8985
2020-06-11,79.2975
2020-06-12,79.151
2020-06-13,79.00450000000001
2020-06-14,78.858
2020-06-15,78.7115
2020-06-16,78.4247
2020-06-17,78.41
2020-06-18,78.3123
2020-06-19,77.6493
2020-06-20,77.7162
2020-06-21,77.78309999999999
2020-06-22,77.85
2020-06-23,77.8589
2020-06-24,77.6491
2020-06-25,77.4393
2020-06-26,78.33
2020-06-27,78.44966666666666
2020-06-28,78.56933333333333
2020-06-29,78.689
2020-06-30,79.9575
2020-07-01,79.62875
2020-07-02,79.3
2020-07-03,80.2918
2020-07-04,80.5837
2020-07-05,80.8756
2020-07-06,81.1675
2020-07-07,80.5747
2020-07-08,80.6158
2020-07-09,80.0
2020-07-10,79.8848
2020-07-11,80.10113333333334
2020-07-12,80.31746666666666
2020-07-13,80.5338
2020-07-14,80.7697
2020-07-15,80.99
2020-07-16,81.4886
2020-07-17,82.2244
2020-07-18,82.04216666666667
2020-07-19,81.85993333333333
2020-07-20,81.6777
2020-07-21,81.5163
2020-07-22,82.1923
2020-07-23,82.856
2020-07-24,83.6
2020-07-25,83.75836666666666
2020-07-26,83.91673333333334
2020-07-27,84.0751
2020-07-28,85.0505
2020-07-29,85.6055
2020-07-30,86.6705
2020-07-31,87.5547
2020-08-01,87.04236666666667
2020-08-02,86.53003333333334
2020-08-03,86.0177
2020-08-04,86.7544
2020-08-05,86.454
2020-08-06,87.0273
2020-08-07,86.8838
2020-08-08,86.67503333333333
2020-08-09,86.46626666666666
2020-08-10,86.2575
2020-08-11,85.8945
2020-08-12,86.8591
2020-08-13,86.2
2020-08-14,86.25
2020-08-15,86.66143333333333
