,Price
2020-01-01,62.0922
2020-01-02,62.0922
2020-01-03,62.0922
2020-01-04,62.00236666666667
2020-01-05,61.91253333333333
2020-01-06,61.8227
2020-01-07,61.533199999999994
2020-01-08,61.2437
2020-01-09,61.283
2020-01-10,61.0548
2020-01-11,61.127433333333336
2020-01-12,61.200066666666665
2020-01-13,61.2727
2020-01-14,61.4394
2020-01-15,61.4315
2020-01-16,61.6574
2020-01-17,61.5573
2020-01-18,61.55663333333333
2020-01-19,61.55596666666667
2020-01-20,61.5553
2020-01-21,61.8802
2020-01-22,61.8397
2020-01-23,61.902
2020-01-24,62.0857
2020-01-25,62.383700000000005
2020-01-26,62.6817
2020-01-27,62.9797
2020-01-28,62.2825
2020-01-29,62.5451
2020-01-30,63.2759
2020-01-31,63.9203
2020-02-01,63.851866666666666
2020-02-02,63.783433333333335
2020-02-03,63.715
2020-02-04,63.1093
2020-02-05,62.8877
2020-02-06,63.3488
2020-02-07,64.11
2020-02-08,64.11773333333333
2020-02-09,64.12546666666667
2020-02-10,64.1332
2020-02-11,63.3759
2020-02-12,63.2143
2020-02-13,63.6413
2020-02-14,63.5556
2020-02-15,63.52523333333333
2020-02-16,63.49486666666667
2020-02-17,63.4645
2020-02-18,63.8115
2020-02-19,63.571
2020-02-20,64.2038
2020-02-21,64.0561
2020-02-22,64.385225
2020-02-23,64.71435
2020-02-24,65.043475
2020-02-25,65.3726
2020-02-26,65.4708
2020-02-27,66.0217
2020-02-28,66.8806
2020-02-29,66.73103333333333
2020-03-01,66.58146666666667
2020-03-02,66.4319
2020-03-03,65.9881
2020-03-04,66.2666
2020-03-05,67.6538
2020-03-06,68.5685
2020-03-07,69.27005
2020-03-08,69.9716
2020-03-09,70.67315
2020-03-10,71.3747
2020-03-11,72.9375
2020-03-12,74.8742
2020-03-13,72.6133
2020-03-14,73.2954
2020-03-15,73.97749999999999
2020-03-16,74.6596
2020-03-17,75.4362
2020-03-18,80.8692
2020-03-19,79.1566
2020-03-20,79.9236
2020-03-21,79.8136
2020-03-22,79.7036
2020-03-23,79.5936
2020-03-24,78.2965
2020-03-25,78.2023
2020-03-26,77.4751
2020-03-27,78.8122
2020-03-28,78.98740000000001
2020-03-29,79.1626
2020-03-30,79.3378
2020-03-31,78.4426
2020-04-01,78.731
2020-04-02,77.2349
2020-04-03,76.4918
2020-04-04,76.32983333333333
2020-04-05,76.16786666666667
2020-04-06,76.0059
2020-04-07,75.5471
2020-04-08,74.9406
2020-04-09,74.2565
2020-04-10,73.7523
2020-04-11,73.70196666666666
2020-04-12,73.65163333333334
2020-04-13,73.6013
2020-04-14,72.9953
2020-04-15,74.8437
2020-04-16,74.1841
2020-04-17,73.958
2020-04-18,74.47816666666667
2020-04-19,74.99833333333333
2020-04-20,75.5185
2020-04-21,77.0694
2020-04-22,75.9065
2020-04-23,74.7727
2020-04-24,74.5651
2020-04-25,74.54123333333334
2020-04-26,74.51736666666666
2020-04-27,74.4935
2020-04-28,74.1033
2020-04-29,73.0162
2020-04-30,74.3813
2020-05-01,74.49074999999999
2020-05-02,74.6002
2020-05-03,74.70965000000001
2020-05-04,74.8191
2020-05-05,73.7551
2020-05-06,74.5643
2020-05-07,74.1003
2020-05-08,73.4267
2020-05-09,73.498375
2020-05-10,73.57005
2020-05-11,73.641725
2020-05-12,73.7134
2020-05-13,73.929
2020-05-14,73.4875
2020-05-15,73.616
2020-05-16,73.30126666666666
2020-05-17,72.98653333333334
2020-05-18,72.6718
2020-05-19,72.4881
2020-05-20,71.118
2020-05-21,70.9631
2020-05-22,71.6123
2020-05-23,71.63823333333333
2020-05-24,71.66416666666667
2020-05-25,71.6901
2020-05-26,70.7948
2020-05-27,71.0038
2020-05-28,70.4928
2020-05-29,70.1445
2020-05-30,69.80463333333333
2020-05-31,69.46476666666666
2020-06-01,69.1249
2020-06-02,68.6754
2020-06-03,68.6504
2020-06-04,69.1601
2020-06-05,68.686
2020-06-06,68.52286666666667
2020-06-07,68.35973333333334
2020-06-08,68.1966
2020-06-09,68.5617
2020-06-10,68.4949
2020-06-11,70.2013
2020-06-12,70.039375
2020-06-13,69.87745000000001
2020-06-14,69.715525
2020-06-15,69.5536
2020-06-16,69.6567
2020-06-17,69.7446
2020-06-18,69.8744
2020-06-19,69.446
2020-06-20,69.33076666666666
2020-06-21,69.21553333333334
2020-06-22,69.1003
2020-06-23,68.8651
2020-06-24,68.9417
2020-06-25,69.0183
2020-06-26,69.7955
2020-06-27,69.863
2020-06-28,69.93050000000001
2020-06-29,69.998
2020-06-30,71.1734
2020-07-01,70.87405000000001
2020-07-02,70.5747
2020-07-03,71.3983
2020-07-04,71.54140000000001
2020-07-05,71.6845
2020-07-06,71.8276
2020-07-07,71.4936
2020-07-08,71.1138
2020-07-09,70.9414
2020-07-10,70.7118
2020-07-11,70.80493333333334
2020-07-12,70.89806666666667
2020-07-13,70.9912
2020-07-14,70.8703
2020-07-15,70.9881
2020-07-16,71.592
2020-07-17,71.8825
2020-07-18,71.70259999999999
2020-07-19,71.5227
2020-07-20,71.3428
2020-07-21,70.7443
2020-07-22,71.0675
2020-07-23,71.4585
2020-07-24,71.729
2020-07-25,71.67433333333334
2020-07-26,71.61966666666666
2020-07-27,71.565
2020-07-28,72.5804
2020-07-29,72.581
2020-07-30,73.1543
2020-07-31,74.4114
2020-08-01,73.97923333333334
2020-08-02,73.54706666666667
2020-08-03,73.1149
2020-08-04,73.5325
2020-08-05,72.8745
2020-08-06,73.2782
2020-08-07,73.717
2020-08-08,73.63356666666667
2020-08-09,73.55013333333333
2020-08-10,73.4667
2020-08-11,73.1506
2020-08-12,73.7116
2020-08-13,72.9555
2020-08-14,72.8558
2020-08-15,73.1377
2020-08-16,73.4196
2020-08-17,73.7015
2020-08-18,73.1634
2020-08-19,73.292
2020-08-20,73.7823
2020-08-21,74.7995
2020-08-22,74.74636666666666
2020-08-23,74.69323333333334
2020-08-24,74.6401
2020-08-25,75.3312
2020-08-26,75.3995
2020-08-27,74.9588
2020-08-28,74.0056
2020-08-29,74.02766666666666
2020-08-30,74.04973333333334
2020-08-31,74.0718
2020-09-01,73.5765
2020-09-02,75.4015
2020-09-03,75.268
2020-09-04,75.4087
2020-09-05,75.5253
2020-09-06,75.64189999999999
2020-09-07,75.7585
2020-09-08,76.2826
2020-09-09,75.3163
2020-09-10,75.2048
2020-09-11,75.0956
2020-09-12,75.14953333333334
2020-09-13,75.20346666666667
2020-09-14,75.2574
2020-09-15,75.0223
2020-09-16,74.9778
2020-09-17,75.2033
2020-09-18,75.744
2020-09-19,75.87013333333333
2020-09-20,75.99626666666667
2020-09-21,76.1224
2020-09-22,76.0992
2020-09-23,77.0808
2020-09-24,77.1487
2020-09-25,78.2164
2020-09-26,78.49646666666666
2020-09-27,78.77653333333333
2020-09-28,79.0566
2020-09-29,79.0732
2020-09-30,77.6319
2020-10-01,77.3346
2020-10-02,78.1851
2020-10-03,78.15856666666667
2020-10-04,78.13203333333334
2020-10-05,78.1055
2020-10-06,78.449
2020-10-07,78.032
2020-10-08,77.3714
2020-10-09,76.7675
2020-10-10,76.8933
2020-10-11,77.01910000000001
2020-10-12,77.1449
2020-10-13,77.0491
2020-10-14,77.6328
2020-10-15,78.0885
2020-10-16,77.8938
2020-10-17,77.81253333333333
2020-10-18,77.73126666666667
2020-10-19,77.65
2020-10-20,77.3423
2020-10-21,76.7229
2020-10-22,76.6168
2020-10-23,76.1235
2020-10-24,76.24733333333334
2020-10-25,76.37116666666667
2020-10-26,76.495
2020-10-27,77.3059
2020-10-28,79.2242
2020-10-29,78.8685
2020-10-30,79.5257
2020-10-31,79.86333333333333
2020-11-01,80.20096666666667
2020-11-02,80.5386
2020-11-03,79.3552
2020-11-04,78.1908
2020-11-05,77.0264
2020-11-06,77.4158
2020-11-07,77.046
2020-11-08,76.6762
2020-11-09,76.3064
2020-11-10,76.57
2020-11-11,77.1139
2020-11-12,77.3496
2020-11-13,77.4023
2020-11-14,76.99146666666667
2020-11-15,76.58063333333332
2020-11-16,76.1698
2020-11-17,76.2305
2020-11-18,76.0511
2020-11-19,76.0553
2020-11-20,76.1924
2020-11-21,76.18676666666667
2020-11-22,76.18113333333334
2020-11-23,76.1755
2020-11-24,75.4715
2020-11-25,75.5406
2020-11-26,75.7072
2020-11-27,75.8605
2020-11-28,76.04143333333333
2020-11-29,76.22236666666667
2020-11-30,76.4033
2020-12-01,75.8453
2020-12-02,75.0718
2020-12-03,74.4431
2020-12-04,74.0634
2020-12-05,73.92506666666667
2020-12-06,73.78673333333333
2020-12-07,73.6484
2020-12-08,73.5166
2020-12-09,73.8723
2020-12-10,73.0484
2020-12-11,72.9572
2020-12-12,73.2609
2020-12-13,73.5646
2020-12-14,73.8683
2020-12-15,73.3824
2020-12-16,73.3497
2020-12-17,72.862
2020-12-18,73.3477
2020-12-19,73.83373333333334
2020-12-20,74.31976666666667
2020-12-21,74.8058
2020-12-22,75.8958
2020-12-23,75.0744
2020-12-24,73.8873
2020-12-25,74.1956
2020-12-26,74.0494
2020-12-27,73.9032
2020-12-28,73.757
2020-12-29,74.0354
2020-12-30,74.4121
2020-12-31,74.4121
